Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.771093,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.056224,0.161245,0.014112,0.231581,2021-12-13/2021-12-14/2021-12-15/2021-12-16,,1
1,0.169489,0.55978,0.010398,0.102327,2022-01-26/2022-01-27/2022-01-28,,3
0,0.284611,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
1,0.529709,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0,0.191771,0.427833,0.017825,0.17234,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,4
1,0.919638,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.893642,0.813981,0.017825,0.052779,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
1,0.230764,0.468225,0.014112,0.091555,2022-02-22/2022-02-23/2022-02-24/2022-02-25,,5
0,0.251188,0.457454,0.040107,0.113098,2022-02-24/2022-02-25/2022-02-28/2022-03-02/2022-03-03/2022-03-04/2022-03-07/2022-03-08/2022-03-10/2022-03-11/2022-03-14,BullishHarami,5
1,0.340315,0.417062,0.03268,0.096941,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0,0.440582,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
1,0.551991,0.792439,0.017825,0.067859,2022-06-29/2022-06-30/2022-07-01/2022-07-04/2022-07-05,,5
0,0.843509,0.847372,0.028966,0.054933,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
