Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.737671,0.898338,0.017825,0.112414,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.555704,0.610582,0.040107,0.11608,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.949346,0.74499,0.010398,0.103861,2022-12-16/2022-12-19/2022-12-20,,2
0,0.938206,0.741935,0.017825,0.134409,2022-12-12/2022-12-13/2022-12-14/2022-12-15/2022-12-16,,3
1,0.171346,0.421188,0.014112,0.189394,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,4
0,0.251188,0.195137,0.010398,0.262708,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
1,0.487002,0.76393,0.014112,0.073314,2022-06-17/2022-06-20/2022-06-21/2022-06-22,,4
0,0.40716,0.497556,0.03268,0.109971,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,4
1,0.886215,0.836632,0.03268,0.072092,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.160205,0.353983,0.014112,0.189394,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
1,0.771093,0.891007,0.017825,0.046432,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0,0.86022,0.795088,0.017825,0.059873,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
