CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.72653,0.897182,0.017825,0.114728,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.061794,0.120277,0.010398,0.062352,2022-01-03/2022-01-04/2022-01-05,,1
0.485146,0.787442,0.010398,0.119716,2022-06-22/2022-06-23/2022-06-24,,2
0.544563,0.603504,0.040107,0.118469,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
0.123069,0.472565,0.014112,0.16835,2022-01-25/2022-01-26/2022-01-27/2022-01-28,Hammer/BullishDoji/BearishEngulfing,3
0.275327,0.248098,0.014112,0.118469,2022-03-30/2022-03-31/2022-04-01/2022-04-04,BearishEngulfing,3
0.160205,0.410213,0.014112,0.193291,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,4
0.240048,0.179511,0.010398,0.268113,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
0.370024,0.485036,0.010398,0.143409,2022-05-06/2022-05-09/2022-05-10,,4
0.27347,0.238745,0.010398,0.099763,2022-03-30/2022-03-31/2022-04-01,BearishEngulfing,4
0.700535,0.80303,0.010398,0.071081,2022-09-15/2022-09-16/2022-09-19,,4
0.600267,0.647151,0.025252,0.093528,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
0.875074,0.834206,0.03268,0.073575,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.94749,0.760631,0.014112,0.066093,2022-12-20/2022-12-21/2022-12-22/2022-12-23,,4
0.095217,0.282392,0.010398,0.162115,2022-01-14/2022-01-17/2022-01-18,,5
0.149064,0.341626,0.014112,0.193291,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
0.295752,0.332273,0.03268,0.112233,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0.329174,0.350979,0.017825,0.112233,2022-04-19/2022-04-20/2022-04-21/2022-04-22/2022-04-25,BearishEngulfing,5
0.375594,0.485036,0.021539,0.143409,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0.535279,0.606622,0.021539,0.112233,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15,,5
0.789661,0.837324,0.010398,0.049881,2022-10-21/2022-10-24/2022-10-25,,5
0.849079,0.791807,0.017825,0.061105,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
