Label,Date,Priority
1,2022-09-28,1
0,2022-01-03,1
1,2022-06-23,2
0,2022-07-20,2
1,2022-12-23,2
1,2022-01-27,3
0,2022-03-31,3
1,2022-09-26,3
0,2022-12-15,3
1,2022-02-14,4
0,2022-03-18,4
1,2022-05-10,4
0,2022-03-30,4
0,2022-05-23,4
1,2022-07-04,4
1,2022-09-19,4
0,2022-08-08,4
0,2022-10-25,4
1,2022-11-28,4
1,2022-12-20,4
0,2022-12-21,4
1,2022-01-18,5
0,2022-02-10,5
0,2022-03-04,5
1,2022-03-14,5
1,2022-04-12,5
0,2022-04-20,5
1,2022-05-12,5
0,2022-06-03,5
0,2022-07-15,5
1,2022-08-02,5
1,2022-08-29,5
0,2022-08-31,5
0,2022-09-22,5
1,2022-10-21,5
1,2022-11-22,5
0,2022-11-15,5
