Date,Open,High,Low,Close,Volume
2009-09-29,13096,15020,11132,11132,2112504
2009-09-30,10190,10927,9495,9495,1427337
2009-10-01,9781,10190,9044,9577,651418
2009-10-05,9331,9495,8799,8840,215775
2009-10-06,9003,9126,8103,8104,290968
2009-10-07,8349,9290,8267,8513,900801
2009-10-08,8594,9576,8349,8963,467275
2009-10-09,9003,9699,8963,9209,352812
2009-10-12,9331,9576,9003,9250,165940
2009-10-13,9372,9413,8512,8799,276528
2009-10-14,8676,9290,8635,8963,187465
2009-10-15,8922,9290,8594,8595,141594
2009-10-16,8594,8758,8430,8513,75528
2009-10-19,8512,9167,8471,9168,238173
2009-10-20,9290,9658,9126,9127,280541
2009-10-21,9208,10231,9044,9659,739749
2009-10-22,9536,11091,9495,11091,618777
2009-10-23,11541,11746,10804,11214,1061682
2009-10-26,11418,12237,11091,11419,1009188
2009-10-27,11214,12973,11173,11951,1417773
2009-10-28,11950,12032,10968,10968,366645
2009-10-29,10600,12237,10600,12114,438037
2009-10-30,12278,13219,12032,12442,693307
2009-11-02,12032,12319,11500,11664,400659
2009-11-03,11991,12482,11705,11746,353722
2009-11-04,11868,12932,11868,12933,317352
2009-11-05,12932,13833,12605,13342,709193
2009-11-06,13383,13710,13096,13342,299529
2009-11-09,13383,13505,12769,12974,346915
2009-11-10,13178,13260,12319,12524,337326
2009-11-11,12523,12769,11868,12769,302354
2009-11-12,12769,12769,12032,12033,112324
2009-11-13,12196,12441,11705,11705,155568
2009-11-16,11705,11705,10641,10805,361424
2009-11-17,10968,11214,10722,10805,188877
2009-11-18,10968,11214,10845,11009,197352
2009-11-19,11173,11787,11091,11705,190494
2009-11-20,11787,11950,11418,11582,114064
2009-11-23,11582,11664,11254,11664,96319
2009-11-24,11787,12155,11541,11541,157454
2009-11-25,11746,11827,11377,11828,79765
2009-11-26,11827,11827,11336,11337,99788
2009-11-27,11214,11214,9658,9741,372254
2009-11-30,10190,10886,9986,10600,235777
2009-12-01,10600,11009,10231,10968,89416
2009-12-02,11295,11418,10927,10928,92933
2009-12-03,10886,11009,10600,10682,78022
2009-12-04,10722,11009,10395,10928,92542
2009-12-07,11009,11132,10804,11050,62996
2009-12-08,11091,11132,10559,10559,84053
2009-12-09,10436,11009,10272,10887,66117
2009-12-10,10886,11336,10763,11214,146280
2009-12-11,11377,12114,11254,11664,180033
2009-12-14,11746,12646,11623,12646,237844
2009-12-15,12728,12851,12278,12769,167868
2009-12-16,13014,13260,12319,12933,192975
2009-12-17,13096,13096,12687,12728,142687
2009-12-18,12728,13915,12687,13915,329538
2009-12-21,14038,14160,13546,14038,173324
2009-12-22,14242,14529,13505,14365,307068
2009-12-23,14529,15347,14283,15225,335669
2009-12-24,15061,15470,14447,15470,300814
2009-12-28,15143,15388,14651,15225,235554
2009-12-29,15143,15511,14774,15470,156017
2009-12-30,15716,16248,15347,16043,262545
2010-01-04,16002,16248,15593,15716,111899
2010-01-05,15716,17312,15347,15880,306508
2010-01-06,16125,16166,15224,15225,221583
2010-01-07,15143,15552,14733,15020,127135
2010-01-08,15224,15797,14815,15552,94400
2010-01-11,15675,16452,15470,15716,122925
2010-01-12,15511,16002,15183,15880,103286
2010-01-13,15838,16125,15552,16003,39946
2010-01-14,16329,16698,15797,15962,104699
2010-01-15,15961,15961,15143,15593,218466
2010-01-18,15470,15634,15143,15143,44134
2010-01-19,15020,15224,14242,14611,214014
2010-01-20,14610,14733,13956,14406,206918
2010-01-21,14283,15265,14283,15061,102404
2010-01-22,14815,14897,14038,14897,73034
2010-01-25,14733,14733,13915,14611,59342
2010-01-26,14733,15143,14078,14365,51564
2010-01-27,14651,14651,13915,14079,59861
2010-01-28,14242,14324,13465,14202,81817
2010-01-29,14119,14406,13628,13915,77105
2010-02-01,14119,14856,13997,14652,96875
2010-02-02,14692,14938,14201,14488,42350
2010-02-03,14692,14938,14488,14816,48487
2010-02-04,14815,14815,14447,14816,29591
2010-02-05,14283,14406,13915,14120,80265
2010-02-08,14201,14201,13465,13465,47938
2010-02-09,13874,13997,13219,13506,71220
2010-02-10,13792,13915,13342,13588,46322
2010-02-11,13587,13874,13383,13874,21853
2010-02-12,13956,14078,13587,13997,28755
2010-02-16,14119,14283,13874,13915,23299
2010-02-17,14078,14078,13669,13997,51231
2010-02-18,14160,14201,13874,14079,23208
2010-02-19,14119,16166,14119,14243,144275
2010-02-22,14488,15224,14242,14611,203120
2010-02-23,14692,15183,14570,15020,84887
2010-02-24,14856,15756,14610,15552,125269
2010-02-25,15797,15961,15020,15020,51693
2010-02-26,15061,15593,15020,15430,38123
2010-03-02,15552,15838,15061,15061,54716
2010-03-03,15143,15265,14610,14652,62148
2010-03-04,14651,14774,14283,14365,34187
2010-03-05,14365,14856,14365,14652,39367
2010-03-08,14733,14938,14610,14693,31623
