Date,Open,High,Low,Close,Volume
1998-09-25,2140,2270,2140,2160,39700.0
1998-09-26,2300,2300,2180,2260,57800.0
1998-09-28,2300,2300,2140,2140,25350.0
1998-09-29,2200,2300,2140,2280,65800.0
1998-09-30,2240,2280,2240,2280,44900.0
1998-10-01,2240,2400,2240,2360,169800.0
1998-10-02,2380,2540,2380,2520,366550.0
1998-10-07,2540,2680,2440,2480,323500.0
1998-10-08,2560,2640,2540,2540,486350.0
1998-10-09,2610,2720,2610,2680,317350.0
1998-10-10,2680,2700,2620,2680,144900.0
1998-10-12,2720,2860,2720,2760,183150.0
1998-10-13,2770,2780,2640,2680,147700.0
1998-10-14,2620,2710,2560,2660,102850.0
1998-10-15,2560,2760,2560,2730,188250.0
1998-10-16,2770,2770,2660,2660,123000.0
1998-10-17,2680,2840,2680,2740,124450.0
1998-10-19,2710,2780,2670,2700,87900.0
1998-10-20,2680,2720,2630,2700,63500.0
1998-10-21,2700,2700,2600,2600,117050.0
1998-10-22,2620,2680,2560,2660,44600.0
1998-10-23,2580,2660,2560,2580,59800.0
1998-10-24,2560,2640,2560,2600,68200.0
1998-10-26,2600,2910,2600,2910,476200.0
1998-10-27,2920,2940,2680,2760,215600.0
1998-10-28,2720,3040,2700,2700,293500.0
1998-10-29,2740,2840,2740,2760,158650.0
1998-10-30,2900,2900,2760,2760,68300.0
1998-10-31,2780,2800,2700,2700,69600.0
1998-11-02,2700,2840,2700,2760,50150.0
1998-11-03,2800,2800,2720,2760,58400.0
1998-11-04,2720,2820,2700,2760,35600.0
1998-11-05,2720,2800,2720,2760,41600.0
1998-11-06,2800,2980,2800,2870,157050.0
1998-11-07,3000,3000,2820,2820,60150.0
1998-11-09,2840,2940,2780,2940,117500.0
1998-11-10,2960,2980,2780,2840,61650.0
1998-11-11,2900,2920,2800,2880,68600.0
1998-11-12,2870,3100,2870,3040,353900.0
1998-11-13,3020,3020,2920,3000,109600.0
1998-11-14,3000,3120,2960,3000,110650.0
1998-11-16,3020,3060,2940,3060,91350.0
1998-11-17,3100,3180,3060,3100,196950.0
1998-11-18,3080,3300,3080,3240,125800.0
1998-11-19,3180,3300,3180,3220,113600.0
1998-11-20,3340,3480,3120,3140,93100.0
1998-11-21,3200,3200,3100,3100,47350.0
1998-11-23,3100,3210,3100,3200,105500.0
1998-11-24,3220,3220,3100,3120,83700.0
1998-11-25,3120,3160,3090,3140,120100.0
1998-11-26,3100,3140,3010,3040,104550.0
1998-11-27,3000,3030,2960,2980,51700.0
1998-11-28,2980,3080,2950,2950,19100.0
1998-11-30,3000,3000,2900,2940,59650.0
1998-12-01,2960,3000,2860,2900,44000.0
1998-12-02,2920,2980,2860,2950,52950.0
1998-12-03,2970,3120,2960,3000,77900.0
1998-12-04,3020,3060,2900,2920,47100.0
1998-12-05,3000,3000,2920,2980,64600.0
1998-12-07,2960,3160,2920,3060,257650.0
1998-12-08,3100,3120,3010,3020,154950.0
1998-12-09,3050,3170,2970,3120,246800.0
1998-12-10,3200,3280,3160,3240,207200.0
1998-12-11,3220,3300,3160,3230,138300.0
1998-12-14,3420,3420,3220,3360,171800.0
1998-12-15,3360,3740,3300,3600,224400.0
1998-12-16,3440,3500,3090,3200,138250.0
1998-12-17,3200,3260,3120,3120,45850.0
1998-12-18,3060,3260,3060,3080,54650.0
1998-12-21,3280,3280,3120,3220,64300.0
1998-12-22,3120,3180,3000,3000,52100.0
1998-12-23,3020,3160,3020,3060,72800.0
1998-12-24,3100,3260,3100,3200,60800.0
