Date,Open,High,Low,Close,Volume
2019-10-18,3453.0,4488.0,3453.0,4489,2385.0
2019-10-21,5833.0,5833.0,5833.0,5833,1858.0
2019-10-22,7574.0,7574.0,7574.0,7575,6563.0
2019-10-23,9819.0,9819.0,9490.0,9819,89947.0
2019-10-24,11221.0,12721.0,11125.0,12721,205643.0
2019-10-25,14752.0,16494.0,14752.0,16494,38942.0
2019-10-29,21427.0,21427.0,13156.0,13834,974821.0
2019-10-30,14075.0,17219.0,12430.0,15236,1116585.0
2019-10-31,14801.0,17896.0,13350.0,13979,620535.0
2019-11-01,14510.0,15236.0,13350.0,13592,169834.0
2019-11-04,13543.0,13543.0,11898.0,12092,103828.0
2019-11-05,11898.0,11947.0,10157.0,10303,122333.0
2019-11-06,10157.0,11657.0,10012.0,10593,130653.0
2019-11-07,10689.0,10786.0,9722.0,9819,47008.0
2019-11-08,9867.0,11318.0,9673.0,10061,220864.0
2019-11-11,10012.0,10447.0,9722.0,10061,84930.0
2019-11-12,10205.0,10254.0,9673.0,10158,109586.0
2019-11-13,10205.0,10447.0,9770.0,10158,124240.0
2019-11-14,10205.0,10205.0,9915.0,10206,74335.0
2019-11-15,10447.0,12382.0,10254.0,10496,911868.0
2019-11-18,12624.0,12769.0,10738.0,11077,350891.0
2019-11-19,10883.0,11076.0,10109.0,10641,170401.0
2019-11-20,10883.0,11221.0,9867.0,10061,104331.0
2019-11-21,9819.0,10109.0,9451.0,9490,48036.0
2019-11-22,9354.0,9528.0,8706.0,8813,54909.0
2019-11-25,8890.0,8929.0,8754.0,8794,19930.0
2019-11-26,8774.0,8803.0,8425.0,8668,34410.0
2019-11-27,8638.0,8832.0,8445.0,8445,23474.0
2019-11-28,8667.0,8667.0,8164.0,8184,18860.0
2019-11-29,8203.0,8261.0,7971.0,8039,10084.0
2019-12-02,8029.0,8455.0,7671.0,7904,29625.0
2019-12-03,8010.0,10254.0,7787.0,10254,408850.0
2019-12-04,10786.0,11608.0,8803.0,8832,723115.0
2019-12-05,8561.0,8706.0,7864.0,7933,115936.0
2019-12-06,8010.0,10254.0,7855.0,8445,682370.0
2019-12-09,9093.0,9257.0,8290.0,8407,113689.0
2019-12-10,8445.0,10883.0,8445.0,9132,906068.0
2019-12-11,9335.0,11221.0,9054.0,10545,1104170.0
2019-12-12,10496.0,10738.0,9964.0,10013,212820.0
2019-12-13,10641.0,11657.0,10205.0,11657,767760.0
2019-12-16,12817.0,14946.0,12237.0,14704,2138358.0
2019-12-17,13736.0,16300.0,13204.0,13350,1823761.0
2019-12-18,13156.0,14317.0,12479.0,12479,542862.0
2019-12-19,12817.0,13882.0,12430.0,13060,548535.0
2019-12-20,12769.0,13156.0,11898.0,12044,206445.0
2019-12-23,11802.0,11947.0,10931.0,11077,160103.0
2019-12-24,10931.0,12963.0,10883.0,11754,966829.0
2019-12-26,11560.0,12527.0,10931.0,11560,705928.0
2019-12-27,11898.0,12576.0,11753.0,11754,394788.0
2019-12-30,11947.0,12334.0,11705.0,11705,155052.0
2020-01-02,11657.0,12237.0,11657.0,11802,111180.0
2020-01-03,12140.0,12237.0,11463.0,11851,141745.0
2020-01-06,11608.0,11608.0,11125.0,11270,59989.0
2020-01-07,11415.0,11511.0,10883.0,11125,38009.0
2020-01-08,11125.0,11125.0,9819.0,10109,124364.0
2020-01-09,10544.0,11511.0,9964.0,10641,112737.0
2020-01-10,10834.0,11608.0,10641.0,10786,183574.0
2020-01-13,10883.0,10931.0,10254.0,10545,42634.0
2020-01-14,10834.0,11898.0,10834.0,10980,250005.0
2020-01-15,11173.0,11270.0,10883.0,10980,44208.0
2020-01-16,11125.0,11125.0,10738.0,10883,44346.0
2020-01-17,10931.0,10979.0,10641.0,10883,29120.0
