Date,Open,High,Low,Close,Volume
2019-10-18,3136,4076,3136,4076,13544
2019-10-21,5296,5296,5296,5296,11993
2019-10-22,6883,6883,6883,6884,4741
2019-10-23,8946,8946,8946,8946,4204
2019-10-24,11521,11618,11328,11618,651378
2019-10-25,13022,13216,8849,9179,2900135
2019-10-28,9294,9294,7503,7794,1152475
2019-10-29,7513,8026,7348,7591,583011
2019-10-30,8249,9062,6913,8172,2466680
2019-10-31,7852,8568,7397,7978,527633
2019-11-01,8123,8462,7552,7697,495032
2019-11-04,7726,7803,7358,7513,166686
2019-11-05,7513,7513,6874,7058,163520
2019-11-06,7019,7619,6932,7262,197726
2019-11-07,7251,7251,6980,7174,67576
2019-11-08,7174,7435,7126,7262,87343
2019-11-11,7309,8181,7309,7688,333605
2019-11-12,7619,7648,7309,7368,115803
2019-11-13,7368,7503,7261,7426,62481
2019-11-14,7406,7881,7406,7533,147394
2019-11-15,7706,8094,7581,7726,270098
2019-11-18,7794,7929,7648,7707,56052
2019-11-19,7697,7832,7445,7610,95273
2019-11-20,7610,7726,7319,7446,44608
2019-11-21,7358,7493,7116,7378,36147
2019-11-22,7339,7339,7067,7174,20698
2019-11-25,7348,7348,6971,7029,30699
2019-11-26,6961,7038,6913,7000,24863
2019-11-27,7000,7048,6825,6971,42770
2019-11-28,6883,6971,6825,6874,15678
2019-11-29,6864,6922,6651,6690,19985
2019-12-02,6622,6748,6603,6690,10340
2019-12-03,6632,8336,6632,7746,2325676
2019-12-04,7445,7542,6661,6681,528003
2019-12-05,6651,6700,6361,6458,124877
2019-12-06,6351,6990,6332,6468,202590
2019-12-09,6574,6603,6419,6419,24585
2019-12-10,6419,7726,6419,6671,1137382
2019-12-11,6758,7048,6603,6748,298498
2019-12-12,6758,6825,6612,6671,73102
2019-12-13,6680,6990,6603,6884,229640
2019-12-16,7087,8181,6864,7504,2180835
2019-12-17,7213,7735,6971,6971,721210
2019-12-18,7000,7096,6806,6836,135646
2019-12-19,6845,6922,6777,6777,66118
2019-12-20,6961,6961,6622,6681,73857
2019-12-23,6632,6680,6583,6613,47261
2019-12-24,6680,6913,6612,6681,107489
2019-12-26,6680,6874,6603,6748,95082
2019-12-27,6777,6903,6641,6855,59681
2019-12-30,6913,6961,6845,6874,33925
2020-01-02,6874,6903,6825,6874,36831
2020-01-03,6835,7329,6835,6971,204766
2020-01-06,7213,7261,7000,7116,126326
2020-01-07,7261,7581,7174,7397,210842
2020-01-08,7552,7552,6903,7213,160188
2020-01-09,7455,7474,7232,7455,101955
2020-01-10,7455,7464,7348,7455,40532
2020-01-13,7493,7532,7309,7349,61626
2020-01-14,7503,7881,7348,7407,148697
2020-01-15,7426,7532,7329,7387,34513
2020-01-16,7397,7503,7309,7455,41911
2020-01-17,7464,7522,7368,7446,31000
2020-01-20,7397,7455,7329,7387,102452
2020-01-21,7406,7406,7232,7233,29744
2020-01-22,7300,7619,7232,7581,150715
2020-01-23,7581,7823,7561,7717,115040
2020-01-28,7552,7861,7184,7784,110663
2020-01-29,7900,8181,7890,8036,91822
2020-01-30,8132,9314,8036,8598,626186
2020-01-31,8704,8781,8045,8075,101477
2020-02-03,7987,8375,7581,8230,70276
2020-02-04,8520,9178,8249,8946,250169
2020-02-05,9178,9381,8839,8908,118071
2020-02-06,8762,8878,8607,8704,74443
2020-02-07,8713,8810,8442,8520,47411
2020-02-10,8413,8568,8132,8133,51913
2020-02-11,8142,9614,8142,8966,1319482
2020-02-12,9197,9546,8839,9430,428693
2020-02-13,9430,9488,9188,9382,165776
2020-02-14,9488,11134,9294,10602,1051388
2020-02-17,10601,11328,10311,11038,314298
2020-02-18,11037,11618,10843,11183,235739
2020-02-19,11521,11763,10940,11231,141043
2020-02-20,11279,11473,10601,10892,184920
2020-02-21,10408,10843,10311,10505,148405
2020-02-24,10069,10214,9730,10021,101558
2020-02-25,10117,10698,9682,10650,125023
2020-02-26,10505,10892,9875,10796,81049
2020-02-27,10650,10892,10263,10457,66123
2020-02-28,10117,10263,9875,9973,87658
2020-03-02,9972,10408,9972,10215,83803
2020-03-03,10843,10843,10117,10118,94827
2020-03-04,9682,10747,9682,10602,120741
2020-03-05,10940,11328,10698,11038,168512
2020-03-06,10892,11037,10650,10796,49105
2020-03-09,10601,10601,9875,9924,83996
2020-03-10,9682,10359,9488,10069,94506
2020-03-11,10117,10117,8839,9140,143268
2020-03-12,8762,8926,7658,7978,127137
2020-03-13,6874,7755,6390,7533,103798
2020-03-16,8171,8171,6777,6807,83048
2020-03-17,6438,7532,6225,6874,84343
2020-03-18,6980,7174,6409,6410,52173
2020-03-19,6583,6583,5005,5083,75885
2020-03-20,5518,6583,5257,6138,252623
2020-03-23,5557,6138,5257,5771,100385
2020-03-24,6080,7368,5906,6797,452658
2020-03-25,7096,7755,6796,7194,291395
2020-03-26,7358,7358,6893,6923,104245
2020-03-27,7309,7387,6583,6923,88558
2020-03-30,6729,6903,6554,6894,32970
2020-03-31,7135,7135,6845,6990,46667
2020-04-01,7096,7600,6903,7087,126596
2020-04-02,7087,7242,6816,7213,72588
2020-04-03,7406,7794,7319,7649,176192
2020-04-06,7939,8897,7861,8540,197705
2020-04-07,9478,9478,8539,8801,81800
2020-04-08,9275,11424,9110,10747,1399137
2020-04-09,12683,13942,11618,13942,1145543
2020-04-10,13264,15975,12102,13749,2427619
2020-04-13,14813,15781,13409,13991,627213
2020-04-14,15346,15442,12877,14087,1039916
2020-04-16,14523,15733,13361,13749,1927750
2020-04-17,13748,14281,13070,13700,206981
2020-04-20,13264,14087,13167,13652,222694
2020-04-21,13603,13845,12247,13410,193875
2020-04-22,12973,13167,12538,12829,150222
2020-04-23,13070,13167,12538,12780,74880
2020-04-24,12538,12586,11908,12248,92355
2020-04-27,12489,13409,12247,13410,154164
2020-04-28,13845,13990,13312,13603,95115
2020-04-29,13796,13845,13264,13652,85430
2020-05-04,13070,13216,12538,12877,58495
2020-05-06,12973,13167,12489,12780,60857
2020-05-07,12586,13312,12538,13071,47856
2020-05-08,13554,13700,13167,13168,81428
2020-05-11,12683,15733,12683,13991,1222809
2020-05-12,14135,14523,13264,13410,280740
2020-05-13,13361,16798,13119,14620,2718373
2020-05-14,14281,15442,13990,14039,452578
2020-05-15,13748,14184,13119,13749,169421
2020-05-18,13554,15200,13312,13797,460097
2020-05-19,13845,14377,13748,13942,80380
2020-05-20,13942,14523,13845,14329,128324
2020-05-21,14619,14619,14135,14136,80870
2020-05-22,14135,14329,13651,14329,100232
2020-05-25,14668,14861,14329,14572,154697
2020-05-26,14619,15442,14426,14862,361816
2020-05-27,14861,15007,14426,14475,85365
2020-05-28,14668,14813,13603,13894,120815
2020-05-29,13893,14329,13748,14233,47441
2020-06-01,14281,14861,14232,14572,91687
2020-06-02,14668,15007,14523,14668,61508
2020-06-03,13651,14135,13458,13700,135814
2020-06-04,13554,13603,13022,13264,66755
2020-06-05,13119,14329,13070,13845,99051
2020-06-08,14232,14232,13312,13361,63557
2020-06-09,13651,13796,13216,13313,35757
2020-06-10,13312,15733,13070,14184,1059633
2020-06-11,14668,17427,14523,16847,1410439
2020-06-12,15539,21881,15491,21882,686591
2020-06-15,28416,28416,19364,20429,2534474
2020-06-16,23527,24689,19945,22559,1224386
2020-06-17,21881,24495,21348,21978,640660
2020-06-18,21445,22462,20526,20768,215821
2020-06-19,21010,22365,17911,19945,444361
2020-06-22,19557,20090,18686,19171,127121
2020-06-23,19218,22414,19170,20574,824004
2020-06-24,20574,20671,19315,19364,181214
2020-06-25,18831,19025,18202,18590,97039
2020-06-26,18976,19703,18105,18783,69673
2020-06-29,18299,18492,17718,18105,55152
2020-06-30,18153,18492,17088,17379,55851
2020-07-01,17379,18347,16846,16895,62123
2020-07-02,16846,21929,16411,21930,798807
2020-07-03,19460,21252,17911,18444,633985
2020-07-06,19267,19557,18153,18493,184257
2020-07-07,18880,19025,18057,18251,88265
2020-07-08,18976,19896,18057,18590,211332
2020-07-09,18734,19557,18202,18832,169537
2020-07-10,18831,19025,18008,18057,96789
2020-07-13,18153,19073,17524,17863,185176
2020-07-14,17863,18057,16992,17089,87335
2020-07-15,17669,17669,16992,17283,56292
2020-07-16,17476,17863,16992,17234,72513
2020-07-17,17524,17863,17282,17525,60472
2020-07-20,18057,18057,17234,17428,56108
2020-07-21,17621,20332,17330,17815,607384
2020-07-22,17815,17815,17330,17331,95174
2020-07-23,17524,17766,17185,17525,75678
2020-07-24,17088,17524,17088,17137,57368
2020-07-27,17040,17379,16701,17186,108916
2020-07-28,17524,18734,17379,17670,312872
2020-07-29,18202,18541,17524,17525,100058
2020-07-30,17524,17718,17330,17718,40994
2020-07-31,17815,18105,17476,17476,38711
2020-08-03,17766,18153,17427,17573,55466
2020-08-04,17960,17960,17572,17670,27314
2020-08-05,17718,18008,17572,17670,43199
2020-08-06,18008,18976,17669,17912,240270
2020-08-07,18202,18299,17863,18057,73908
2020-08-10,18541,20864,18541,20042,535268
2020-08-11,20041,21736,18928,19703,373023
2020-08-12,19654,19848,19025,19848,101610
2020-08-13,19848,19896,19073,19074,66132
2020-08-14,19073,19073,18299,18541,61641
2020-08-18,18347,18492,16556,17089,70835
2020-08-19,17282,17621,16507,17137,54813
2020-08-20,17330,17524,15684,15879,63407
2020-08-21,16362,16362,15297,15879,40450
2020-08-24,15588,16265,15491,15685,29002
2020-08-25,15588,16362,15588,15879,24855
2020-08-26,15878,15878,14329,15249,190016
2020-08-27,15346,15684,14716,15007,51309
2020-08-28,15055,15346,14716,15104,38078
2020-08-31,15394,15588,15007,15346,41192
2020-09-01,15346,15975,15152,15685,28998
